0,900,2500,1500,3000,950,900,2500,1500,3000,950
120,900,2100,1501,3015,951,900,2100,1501,3015,951
120,900,2100,1501,3015,951,900,2100,1501,3015,951
120,900,2100,1501,3015,951,900,2100,1501,3015,951
120,900,2100,1501,3015,951,900,2100,1501,3015,951
120,900,2100,1501,3015,951,900,2100,1501,3015,951
120,900,2100,1501,3015,951,900,2100,1501,3015,951
120,900,2100,1501,3015,951,900,2100,1501,3015,951
120,900,2100,1501,3015,951,900,2100,1501,3015,951
120,900,2100,1501,3015,951,900,2100,1501,3015,951
120,900,2100,1501,3015,951,900,2100,1501,3015,951
