time, U(Top PMT), V(Top PMT),   U(Anode),   V(Anode),    U(Gate),    V(Gate),   U(NaIce),   V(NaIce), U(Cathode), V(Cathode), U(Bottom PMT), V(Bottom PMT)
0.0,    -800.0,		10.0,		+2750.,		5,	     	 -0.,			10,		-0.,		10,		-1950.,		10,	    	-800,		10
9.2,    -800.0,		10.0,		+3750.,		2,	     	 -0.,			10,		-0.,		10,		-1950.,		10,	    	-800,		10
